latitude,longitude,description,location,name,category,type,timestamp,color
34.599,-78.2484,Quis,Fuga Alias,Autem,Porro Lor,1,11/05/2016 16:43:25,green
38.9874,-78.2206,Quis,Et Ipsa Aut,Nihil,Porro Lor,3,09/05/2016 15:45:21,black
32.4539,-78.0321,Amet,Et Ipsa Aut,Volupt,Porro Lor,2,09/05/2016 15:45:21,yellow
36.821,-79.157,Amet,Cumque Minus Repudiandae,Vero,Porro Lor,2,11/23/2016 19:25:29,white
36.821,-78.0321,Sed Eum V,Recusandae Quis Minim,Elit Volup,Porro Lor,1,10/29/2016 17:09:59,black
38.9874,-79.0631,Sed Fuga,Reiciendis Placeat Veniam,Tempor Si,Porro Lor,1,10/12/2016 13:37:14,green
32.743,-79.8439,Sed Eum V,Cumque Minus Repudiandae,Volupt,Porro Lor,2,10/12/2016 13:37:14,black
33.7509,-78.0321,Sed Fuga,Temporibus In Necessitatibus,Ex Nemo,Porro Lor,2,10/17/2016 00:38:21,orange
32.7716,-78.2206,Amet,Fugiat Est Dolorem,Nihil,Porro Lor,1,09/16/2016 19:39:30,green
37.0767,-79.1307,Quis,Ab Quas,Volupt,Porro Lor,2,10/12/2016 13:37:14,blue
32.2245,-79.6415,Quis,Et Ipsa Aut,Cumque,Porro Lor,2,11/29/2016 13:55:26,green
36.821,-78.2206,Sed Fuga,Dolorem Cupiditate Placeat,Numquam,Porro Lor,2,09/03/2016 16:20:39,purple
33.7944,-79.8439,Quis,Fuga Alias,Nulla,Porro Lor,3,10/17/2016 00:38:21,white
37.0767,-78.2206,Sed Fuga,Dolorem Cupiditate Placeat,Itaque,Porro Lor,3,09/28/2016 11:16:00,green
34.3043,-79.956,Sed Fuga,Fugiat Est Dolorem,Ea,Porro Lor,3,09/03/2016 16:20:39,purple
34.3043,-79.1307,Quis,Ab Quas,Recusandae As,Porro Lor,2,09/03/2016 16:20:39,grey
32.4539,-78.7331,Et Ut Dolo,Et Ipsa Aut,Recusandae As,Porro Lor,2,10/29/2016 17:09:59,orange
38.9874,-79.239,Et Ut Dolo,Temporibus In Necessitatibus,Molestias Quae,Porro Lor,2,10/29/2016 17:09:59,white
33.7944,-79.157,Amet,Cumque Minus Repudiandae,Possim,Porro Lor,3,09/03/2016 16:20:39,green
33.7944,-78.2206,Amet,Fugiat Est Dolorem,Vero,Porro Lor,1,09/03/2016 16:20:39,purple
32.2245,-79.2101,Amet,Et Ipsa Aut,Vero,Porro Lor,3,11/29/2016 13:55:26,green
32.2245,-79.8439,Sed Fuga,Ab Quas,Recusandae As,Porro Lor,3,09/28/2016 11:16:00,yellow
32.2245,-79.956,Quis,Temporibus In Necessitatibus,Elit Volup,Porro Lor,1,11/05/2016 16:43:25,green
32.4539,-79.2101,Et Ut Dolo,Quam Ut Voluptatem,A,Porro Lor,2,11/05/2016 16:43:25,yellow
32.2245,-79.6415,Amet,Dolorem Cupiditate Placeat,Id Et,Porro Lor,2,09/03/2016 16:20:39,black
32.743,-79.6227,Et Ut Dolo,Quam Ut Voluptatem,Molestias Quae,Porro Lor,1,10/29/2016 17:09:59,green
33.7944,-78.2484,Quis,Fuga Alias,A,Porro Lor,1,11/29/2016 13:55:26,blue
34.3043,-78.2206,Et Ut Dolo,Quam Ut Voluptatem,Cumque,Porro Lor,2,11/05/2016 16:43:25,green
34.599,-78.0987,Et Ut Dolo,Fuga Alias,Id Et,Porro Lor,2,11/05/2016 16:43:25,orange
